"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",14367,"리서치앤리서치","동아일보",2025-05-24,2025-05-25,"1.62%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16256&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",14360,"에이스리서치","한국지방신문협회",2025-05-24,2025-05-25,"3.49%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16252&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",14358,"조원씨앤아이","한양경제",2025-05-24,2025-05-25,"1.33%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16250&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",14357,"여론조사공정","펜앤마이크",2025-05-24,2025-05-25,"1.43%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16249&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",14356,"넥스트리서치","MBN/매일경제신문",2025-05-23,2025-05-25,"4.86%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16248&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",14355,"리서치민","뉴데일리",2025-05-24,2025-05-25,"1.57%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16247&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",14354,"한국갤럽","중앙일보",2025-05-24,2025-05-25,"6.37%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16246&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",14353,"KOPRA","아시아투데이",2025-05-24,2025-05-24,"2.2%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16245&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",14352,"여론조사꽃","여론조사꽃",2025-05-23,2025-05-24,"4.4%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16244&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",14351,"한국사회여론연구소(KSOI)","CBS",2025-05-23,2025-05-24,"3.45%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16238&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"11",14350,"코리아정보리서치","천지일보",2025-05-23,2025-05-24,"1.42%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16240&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"12",14349,"리얼미터","에너지경제신문",2025-05-22,2025-05-23,"2.18%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16239&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"13",14348,"한길리서치","폴리뉴스",2025-05-22,2025-05-23,"1.32%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16237&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
